size,cup size,hips,bra size,category,height,fit
8,0,46.0,34.0,0,64,0
32,5,50.0,40.0,0,63,0
4,2,39.0,32.0,1,64,1
4,2,40.0,34.0,1,61,1
8,3,35.0,34.0,0,61,2
13,3,36.0,36.0,1,61,0
15,6,44.0,36.0,0,61,1
4,3,36.0,34.0,1,65,0
26,5,45.0,38.0,1,60,2
26,4,35.0,38.0,1,61,2
15,6,44.0,36.0,1,62,0
26,5,48.0,42.0,0,62,1
20,3,47.0,38.0,1,68,2
4,2,39.0,34.0,1,65,1
15,3,39.0,36.0,1,69,1
12,6,40.0,36.0,1,66,0
20,4,32.0,42.0,0,64,2
9,5,41.0,36.0,1,71,0
12,5,42.0,38.0,0,64,1
4,4,38.0,32.0,0,64,1
8,3,44.0,36.0,1,65,1
8,2,42.0,32.0,0,67,0
32,4,41.0,42.0,1,66,2
12,3,48.0,36.0,0,63,2
13,7,44.0,36.0,1,68,1
12,5,41.0,34.0,1,67,0
12,5,39.0,34.0,1,64,1
4,3,37.0,36.0,1,60,1
8,5,44.0,36.0,0,66,0
4,0,35.0,32.0,0,58,1
4,0,36.0,32.0,1,63,1
3,2,36.0,32.0,1,63,2
12,5,45.0,34.0,1,64,1
15,4,43.0,38.0,1,70,0
1,4,38.0,34.0,1,64,2
20,6,44.0,38.0,1,63,1
38,3,60.0,44.0,1,66,1
26,4,45.0,38.0,0,62,1
20,4,45.0,38.0,1,62,0
20,5,35.0,40.0,0,66,2
8,3,40.0,38.0,0,63,2
15,4,48.0,38.0,0,63,0
4,4,37.0,32.0,1,62,0
26,5,46.0,38.0,0,72,0
26,4,49.0,40.0,0,66,0
26,3,43.0,42.0,0,67,2
12,6,41.0,34.0,1,67,1
15,5,42.0,36.0,0,62,2
4,2,38.0,34.0,1,62,1
8,4,37.0,36.0,0,67,2
8,3,35.0,34.0,1,65,1
12,2,38.0,34.0,1,62,1
12,6,47.0,36.0,0,64,2
20,4,46.0,40.0,0,64,0
4,4,34.0,34.0,0,64,1
20,2,30.0,38.0,1,66,1
7,5,33.0,32.0,1,60,2
27,3,47.0,40.0,1,66,0
4,0,31.0,32.0,1,60,1
12,3,39.0,34.0,1,65,1
27,7,42.0,36.0,1,70,0
12,3,43.0,36.0,0,64,2
4,4,34.0,32.0,0,65,2
12,2,38.0,36.0,1,66,1
12,5,40.0,34.0,1,68,1
32,7,55.0,42.0,0,63,2
12,3,41.0,34.0,0,69,0
4,2,34.0,32.0,0,66,1
20,7,46.0,36.0,0,67,0
9,2,41.0,34.0,1,63,2
8,3,36.0,34.0,0,67,1
8,2,39.0,36.0,1,64,1
26,2,46.0,36.0,0,70,2
20,4,35.0,38.0,1,70,2
1,4,39.0,38.0,1,64,2
24,4,49.0,42.0,1,68,0
4,5,36.0,34.0,0,63,2
8,4,38.0,32.0,0,69,0
8,4,40.0,36.0,1,67,0
12,5,41.0,34.0,0,66,1
12,4,43.0,36.0,1,63,1
8,5,40.0,36.0,0,58,1
8,2,33.0,32.0,0,60,0
5,3,36.0,34.0,1,64,1
8,4,39.0,36.0,0,64,1
8,2,37.0,34.0,0,65,1
1,2,35.0,30.0,0,65,1
15,3,46.0,36.0,1,67,2
12,3,38.0,34.0,0,64,0
8,4,41.0,32.0,0,63,0
38,5,52.0,38.0,1,63,2
32,5,60.0,44.0,0,69,0
8,4,35.0,34.0,0,66,2
4,2,35.0,34.0,0,65,0
26,3,50.0,38.0,1,66,1
12,3,40.0,38.0,1,63,1
32,5,51.0,44.0,0,64,0
1,1,35.0,34.0,1,62,0
8,6,37.0,34.0,1,62,2
13,3,39.0,36.0,1,60,2
9,6,37.0,32.0,1,67,2
8,3,36.0,34.0,1,67,1
8,5,38.0,30.0,0,62,2
38,5,53.0,40.0,0,64,0
8,0,43.0,34.0,1,64,0
38,6,58.0,44.0,1,68,2
8,2,38.0,36.0,0,64,1
4,5,36.0,32.0,1,64,1
26,6,41.0,34.0,0,66,1
26,3,48.0,38.0,1,66,1
15,5,55.0,44.0,0,64,2
26,2,35.0,42.0,1,66,0
38,4,53.0,48.0,0,65,0
18,5,52.0,40.0,1,63,0
20,4,51.0,38.0,1,68,2
3,2,35.0,32.0,1,70,2
20,4,44.0,38.0,0,65,2
4,4,40.0,34.0,0,69,0
26,6,45.0,38.0,1,68,2
11,4,30.0,34.0,1,64,1
8,4,36.0,32.0,0,66,1
20,6,42.0,38.0,0,64,2
26,4,42.0,42.0,0,66,0
20,3,49.0,42.0,0,67,2
8,2,38.0,34.0,0,67,1
20,5,48.0,44.0,0,68,1
12,5,40.0,34.0,0,63,2
4,2,36.0,34.0,1,60,0
8,4,39.0,34.0,0,64,1
32,4,49.0,40.0,0,66,1
15,4,42.0,38.0,1,66,1
11,3,43.0,36.0,1,64,2
8,4,33.0,36.0,1,66,0
15,4,46.0,38.0,1,71,1
8,2,40.0,36.0,1,65,1
8,5,36.0,32.0,1,65,0
4,4,34.0,32.0,1,64,1
32,5,42.0,42.0,0,66,0
1,3,38.0,32.0,1,62,0
8,7,36.0,30.0,1,63,2
12,4,43.0,38.0,1,66,1
12,3,43.0,38.0,0,65,0
12,2,39.0,34.0,1,64,0
4,0,35.0,32.0,0,60,2
12,3,39.0,36.0,0,67,2
38,5,38.0,44.0,1,66,2
32,5,48.0,44.0,0,68,0
8,3,34.0,34.0,0,63,1
4,4,36.0,34.0,0,65,2
4,0,35.0,34.0,0,62,2
20,7,43.0,34.0,0,66,1
12,7,45.0,34.0,1,62,0
15,3,40.0,36.0,0,65,0
26,3,35.0,44.0,0,67,1
15,3,41.0,38.0,1,60,0
1,2,35.0,32.0,0,61,1
1,0,36.0,32.0,1,66,1
13,6,46.0,34.0,1,70,2
8,4,35.0,38.0,0,65,2
1,0,31.0,32.0,1,63,1
8,2,38.0,36.0,1,66,0
4,0,37.0,34.0,1,64,1
12,3,40.0,36.0,1,64,2
15,3,41.0,38.0,1,63,0
4,4,35.0,32.0,0,67,1
8,3,45.0,36.0,0,66,0
4,0,37.0,34.0,1,64,1
15,3,40.0,36.0,1,60,1
15,4,45.0,38.0,1,66,2
20,6,42.0,38.0,1,64,2
4,2,37.0,32.0,0,66,1
12,3,39.0,36.0,0,71,1
8,6,35.0,34.0,1,62,1
12,5,48.0,36.0,0,62,1
32,5,30.0,44.0,0,67,2
4,2,40.0,34.0,0,64,2
4,4,34.0,32.0,1,66,1
